date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2022-09-04,AD,1,57893,4,53478,118,154195,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-20,AE,0,9991089,0,9792266,12727,24922054,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-12,AF,3885,10827184,9432,10105500,9447,11734635,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-06,AG,0,64091,0,62031,2145,128267,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19,AI,0,10846,0,10314,0,24102,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-04,AL,1563,1335654,2451,1261243,10058,2966256,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-22,AM,165,1129669,556,985807,879,2150112,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-04,AO,25042,14220830,18341,7814121,70569,22297104,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,AR,1,41278941,0,37769105,2,109204825,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A,24,534379,67,458001,91,992380,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_007,0,24673,3,19877,3,44550,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_014,0,3012,0,2595,0,5607,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_021,0,6595,0,5973,0,12568,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_028,13,244113,41,214658,54,458771,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_035,2,20080,7,18011,9,38091,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_042,0,9328,1,8431,1,17759,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_049,1,20438,1,17863,2,38301,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_056,1,60191,1,47723,2,107914,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_070,0,2359,0,2189,0,4548,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_077,1,5348,2,4726,3,10074,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_098,0,4194,0,3781,0,7975,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_105,0,3390,0,3146,0,6536,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_112,1,18637,0,16647,1,35284,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_119,0,2716,0,2612,0,5328,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_126,5,53903,6,42253,11,96156,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_133,0,9368,0,6643,0,16011,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_140,0,13622,0,11359,0,24981,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_147,0,19561,3,17330,3,36891,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_154,0,3055,1,2860,1,5915,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_A_161,0,3623,1,3672,1,7295,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B,386,6828281,1134,6214532,1520,13042813,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_007,0,7028,0,6664,0,13692,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_014,0,5420,0,4846,0,10266,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_021,0,4917,1,4696,1,9613,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_028,14,239541,35,217026,49,456567,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_035,9,146408,18,137215,27,283623,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_042,0,8292,0,7741,0,16033,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_049,0,22764,2,20651,2,43415,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_056,2,100551,16,90850,18,191401,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_063,0,18131,1,16512,1,34643,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_070,0,17181,2,16185,2,33366,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_077,1,12352,1,11572,2,23924,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_084,0,8277,1,7408,1,15685,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_091,8,147178,29,135124,37,282302,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_098,1,40968,5,37747,6,78715,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_105,1,15092,0,14184,1,29276,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_112,1,20480,2,19581,3,40061,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_119,1,13563,1,12437,2,26000,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_126,3,43169,5,40100,8,83269,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_134,2,26747,3,24447,5,51194,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_140,0,6748,0,6279,0,13027,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_147,1,9705,0,9252,1,18957,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_154,1,5419,2,5180,3,10599,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_161,0,6368,0,5838,0,12206,,,,,,,,,,,,,,,,,,,,,,,,
